preset_file,current_category,xml_category,preset_name,sample_id,sound_type,suggested_category,issue
Resources/Presets/Factory/Arps/91V_PW_90_vocal_ambient_walk_away_stack_Cm.xml,Arps,Arps,91V_PW_90_vocal_ambient_walk_away_stack_Cm,factory_arps_91v_pw_90_vocal_ambient_walk_away_stack_cm,phrase,Vocals,suggest move to Vocals
Resources/Presets/Factory/Arps/SO_AD_serum_lead_haleakala_arp_Cmin.xml,Arps,Arps,SO_AD_serum_lead_haleakala_arp_Cmin,factory_arps_so_ad_serum_lead_haleakala_arp_cmin,phrase,Leads,suggest move to Leads
Resources/Presets/Factory/Arps/TFH_Melodic_Oneshot_Synth_Crystal_Arp_Bells_Cmin.xml,Arps,Arps,TFH_Melodic_Oneshot_Synth_Crystal_Arp_Bells_Cmin,factory_arps_tfh_melodic_oneshot_synth_crystal_arp_bells_cmin,phrase,Bells,suggest move to Bells
Resources/Presets/Factory/Chords/AU_NTSR_107_synth_pad_loop_love_disconnection_creaky_Cmin.xml,Chords,Chords,AU_NTSR_107_synth_pad_loop_love_disconnection_creaky_Cmin,factory_chords_au_ntsr_107_synth_pad_loop_love_disconnection_creaky_cmin,loop,Pads,suggest move to Pads
Resources/Presets/Factory/Strings/TL_CT_80_Violin_Quartet_Padin_Cm.xml,Strings,Strings,TL_CT_80_Violin_Quartet_Padin_Cm,factory_strings_tl_ct_80_violin_quartet_padin_cm,one_shot,Pads,suggest move to Pads
Resources/Presets/Factory/Strings/TRKTRN_KATO_132_Violin_Solo_Lead_Castello_Cmin.xml,Strings,Strings,TRKTRN_KATO_132_Violin_Solo_Lead_Castello_Cmin,factory_strings_trktrn_kato_132_violin_solo_lead_castello_cmin,one_shot,Leads,suggest move to Leads
Resources/Presets/Factory/Vocals/OSS_IS2_83_flute_vintage_soul_felt_flutes_Cmin.xml,Vocals,Vocals,OSS_IS2_83_flute_vintage_soul_felt_flutes_Cmin,factory_vocals_oss_is2_83_flute_vintage_soul_felt_flutes_cmin,phrase,Arps,suggest move to Arps
Resources/Presets/Factory/Vocals/TRKTRN_REDJON_100_Woodwind_Flute_Pursuit_Melody_Cmin.xml,Vocals,Vocals,TRKTRN_REDJON_100_Woodwind_Flute_Pursuit_Melody_Cmin,factory_vocals_trktrn_redjon_100_woodwind_flute_pursuit_melody_cmin,phrase,Arps,suggest move to Arps
